State,Year,HS_or_higher_25-44,Bach_or_higher_25-44,MathG8Performance,MG8_at_or_above_prof,ReadingG80500,EGOV,LGOV,TGOV,REGION,,,
North Carolina,2006,85.6,27.4,NA,NA,NA,,,,SE,,,
North Dakota,2006,94.5,31.5,NA,NA,NA,,,,MW,,,
Ohio,2006,91.0,27.0,NA,NA,NA,,,,MW,,,
Oklahoma,2006,87.4,23.1,NA,NA,NA,,,,SW,,,
Oregon,2006,89.8,29.3,NA,NA,NA,,,,W,,,
Pennsylvania,2006,90.6,30.4,NA,NA,NA,,,,NE,,,
Rhode Island,2006,88.9,34.8,NA,NA,NA,,,,NE,,,
South Carolina,2006,85.3,23.4,NA,NA,NA,,,,SE,,,
South Dakota,2006,93.2,29.5,NA,NA,NA,,,,MW,,,
Tennessee,2006,87.1,24.0,NA,NA,NA,,,,SE,,,
Texas,2006,81.7,25.4,NA,NA,NA,,,,SW,,,
Utah,2006,91.7,28.7,NA,NA,NA,,,,W,,,
Vermont,2006,96.2,33.2,NA,NA,NA,,,,NE,,,
Virginia,2006,90.3,35.5,NA,NA,NA,,,,SE,,,
Washington,2006,91.2,32.3,NA,NA,NA,,,,W,,,
West Virginia,2006,88.6,19.6,NA,NA,NA,,,,SE,,,
Wisconsin,2006,93.2,29.2,NA,NA,NA,,,,MW,,,
Wyoming,2006,92.1,22.4,NA,NA,NA,,,,W,,,
Puerto Rico,2006,86.2,27.5,NA,NA,NA,,,,T,,,
United States,2007,87.7,29.6,280,31,261,R,,,N,,,
Alabama,2007,84.1,22.6,266,18,252,,,,SE,,,
Alaska,2007,93.8,26.4,283,31,259,,,,W,,,
Arizona,2007,86.9,26.4,276,26,255,,,,SW,,,
Arkansas,2007,85.3,20.7,274,24,258,,,,SE,,,
California,2007,81.6,29.7,270,24,251,,,,W,,,
Colorado,2007,92.3,36.4,286,37,266,,,,W,,,
Connecticut,2007,91.1,37.4,282,35,267,,,,NE,,,
Delaware,2007,89.5,31.8,283,31,265,,,,SE,,,
District of Columbia,2007,91.5,55.7,248,8,241,,,,SE,,,
Florida,2007,86.9,26.3,277,27,260,,,,SE,,,
Georgia,2007,87.5,28.9,275,25,259,,,,SE,,,
Hawaii,2007,94.2,30.2,269,21,251,,,,W,,,
Idaho,2007,92.6,24.6,284,34,265,,,,W,,,
Illinois,2007,89.8,33.8,280,31,263,,,,MW,,,
Indiana,2007,89.9,24.7,285,35,264,,,,MW,,,
Iowa,2007,93.2,29.4,285,35,267,,,,MW,,,
Kansas,2007,91.9,32.0,290,40,267,,,,MW,,,
Kentucky,2007,88.2,22.8,279,27,262,,,,SE,,,
Louisiana,2007,81.7,21.7,272,19,253,,,,SE,,,
Maine,2007,94.2,26.8,286,34,270,,,,NE,,,
Maryland,2007,89.2,37.9,286,37,265,,,,SE,,,
Massachusetts,2007,93.3,43.2,298,51,273,,,,NE,,,
Michigan,2007,93.1,28.6,277,29,260,,,,MW,,,
Minnesota,2007,94.3,35.5,292,43,268,,,,MW,,,
Mississippi,2007,82.0,20.7,265,14,250,,,,SE,,,
Missouri,2007,90.6,28.2,281,30,263,,,,MW,,,
Montana,2007,93.4,29.9,287,38,271,,,,W,,,
Nebraska,2007,90.6,31.8,284,35,267,,,,MW,,,
Nevada,2007,81.6,20.3,271,23,252,,,,W,,,
New Hampshire,2007,95.2,34.9,288,38,270,,,,NE,,,
New Jersey,2007,90.5,38.4,289,40,270,,,,NE,,,
New Mexico,2007,85.1,22.9,268,17,251,,,,SW,,,
New York,2007,87.7,35.7,280,30,264,,,,NE,,,
North Carolina,2007,86.0,27.4,284,34,259,,,,SE,,,
North Dakota,2007,93.9,31.5,292,41,268,,,,MW,,,
Ohio,2007,91.8,27.0,285,35,268,,,,MW,,,
Oklahoma,2007,87.5,23.1,275,21,260,,,,SW,,,
Oregon,2007,90.4,29.3,284,35,266,,,,W,,,
Pennsylvania,2007,90.6,30.4,286,38,268,,,,NE,,,
Rhode Island,2007,89.5,34.8,275,28,258,,,,NE,,,
South Carolina,2007,86.5,23.4,282,32,257,,,,SE,,,
South Dakota,2007,90.9,29.5,288,39,270,,,,MW,,,
Tennessee,2007,87.3,24.0,274,23,259,,,,SE,,,
Texas,2007,81.9,25.4,286,35,261,,,,SW,,,
Utah,2007,92.5,28.7,281,32,262,,,,W,,,
Vermont,2007,96.0,33.2,291,41,273,,,,NE,,,
Virginia,2007,90.2,35.5,288,37,267,,,,SE,,,
Washington,2007,90.8,32.3,285,36,265,,,,W,,,
West Virginia,2007,88.4,19.6,270,19,255,,,,SE,,,
Wisconsin,2007,93.1,29.2,286,37,264,,,,MW,,,
Wyoming,2007,90.7,22.4,287,36,266,,,,W,,,
Puerto Rico,2007,86.5,27.5,NA,NA,NA,,,,T,,,
United States,2008,87.5,30.4,NA,NA,NA,R,,,N,,,
Alabama,2008,85.0,24.1,NA,NA,NA,,,,SE,,,
Alaska,2008,95.3,26.0,NA,NA,NA,,,,W,,,
Arizona,2008,87.1,25.9,NA,NA,NA,,,,SW,,,
Arkansas,2008,85.3,20.9,NA,NA,NA,,,,SE,,,
California,2008,81.1,30.1,NA,NA,NA,,,,W,,,
Colorado,2008,91.5,37.3,NA,NA,NA,,,,W,,,
Connecticut,2008,91.1,39.5,NA,NA,NA,,,,NE,,,
Delaware,2008,88.6,29.6,NA,NA,NA,,,,SE,,,
District of Columbia,2008,90.4,57.6,NA,NA,NA,,,,SE,,,
Florida,2008,87.0,26.4,NA,NA,NA,,,,SE,,,
Georgia,2008,87.9,29.9,NA,NA,NA,,,,SE,,,
Hawaii,2008,93.1,29.4,NA,NA,NA,,,,W,,,
Idaho,2008,89.3,24.9,NA,NA,NA,,,,W,,,
Illinois,2008,89.0,35.2,NA,NA,NA,,,,MW,,,
Indiana,2008,89.2,26.2,NA,NA,NA,,,,MW,,,
Iowa,2008,92.8,30.5,NA,NA,NA,,,,MW,,,
Kansas,2008,90.6,33.1,NA,NA,NA,,,,MW,,,
Kentucky,2008,88.5,23.3,NA,NA,NA,,,,SE,,,
Louisiana,2008,84.3,21.7,NA,NA,NA,,,,SE,,,
Maine,2008,95.3,26.5,NA,NA,NA,,,,NE,,,
Maryland,2008,88.9,37.8,NA,NA,NA,,,,SE,,,
Massachusetts,2008,93.1,44.7,NA,NA,NA,,,,NE,,,
Michigan,2008,93.3,29.1,NA,NA,NA,,,,MW,,,
Minnesota,2008,93.8,36.9,NA,NA,NA,,,,MW,,,
Mississippi,2008,84.1,20.3,NA,NA,NA,,,,SE,,,
Missouri,2008,90.1,28.9,NA,NA,NA,,,,MW,,,
Montana,2008,93.6,29.4,NA,NA,NA,,,,W,,,
Nebraska,2008,90.8,31.9,NA,NA,NA,,,,MW,,,
Nevada,2008,80.4,21.1,NA,NA,NA,,,,W,,,
New Hampshire,2008,95.6,37.2,NA,NA,NA,,,,NE,,,
New Jersey,2008,90.1,39.2,NA,NA,NA,,,,NE,,,
New Mexico,2008,84.4,22.5,NA,NA,NA,,,,SW,,,
New York,2008,87.5,37.4,NA,NA,NA,,,,NE,,,
North Carolina,2008,85.9,28.4,NA,NA,NA,,,,SE,,,
North Dakota,2008,94.7,33.7,NA,NA,NA,,,,MW,,,
Ohio,2008,92.4,28.6,NA,NA,NA,,,,MW,,,
Oklahoma,2008,87.3,23.4,NA,NA,NA,,,,SW,,,
Oregon,2008,90.3,30.5,NA,NA,NA,,,,W,,,
Pennsylvania,2008,90.4,31.5,NA,NA,NA,,,,NE,,,
Rhode Island,2008,89.4,34.3,NA,NA,NA,,,,NE,,,
South Carolina,2008,86.0,24.9,NA,NA,NA,,,,SE,,,
South Dakota,2008,94.1,29.4,NA,NA,NA,,,,MW,,,
Tennessee,2008,88.6,25.6,NA,NA,NA,,,,SE,,,
Texas,2008,81.6,26.0,NA,NA,NA,,,,SW,,,
Utah,2008,93.1,29.4,NA,NA,NA,,,,W,,,
Vermont,2008,95.2,34.3,NA,NA,NA,,,,NE,,,
Virginia,2008,88.8,36.2,NA,NA,NA,,,,SE,,,
Washington,2008,90.2,31.7,NA,NA,NA,,,,W,,,
West Virginia,2008,88.6,20.1,NA,NA,NA,,,,SE,,,
Wisconsin,2008,93.3,30.1,NA,NA,NA,,,,MW,,,
Wyoming,2008,93.1,23.0,NA,NA,NA,,,,W,,,
Puerto Rico,2008,87.5,28.6,NA,NA,NA,,,,T,,,
United States,2009,88.0,31.2,282,33,262,D,,,N,,,
Alabama,2009,85.7,24.6,269,20,255,R,D,S,SE,,,
Alaska,2009,93.7,24.0,283,33,259,R,S,S,W,,,
Arizona,2009,90.7,27.2,277,29,258,R,R,R,SW,,,
Arkansas,2009,87.6,21.7,276,27,258,D,D,D,SE,,,
California,2009,81.9,31.2,270,23,253,R,D,,W,,,
Colorado,2009,90.4,37.9,287,40,266,,,,W,,,
Connecticut,2009,90.0,38.9,289,40,272,,,,NE,,,
Delaware,2009,91.4,32.2,284,32,265,,,,SE,,,
District of Columbia,2009,90.8,58.2,254,11,242,,,,SE,,,
Florida,2009,88.2,26.9,279,29,264,,,,SE,,,
Georgia,2009,87.9,30.7,278,27,260,,,,SE,,,
Hawaii,2009,95.8,31.1,274,25,255,,,,W,,,
Idaho,2009,89.1,24.6,287,38,265,,,,W,,,
Illinois,2009,89.5,35.9,282,33,265,,,,MW,,,
Indiana,2009,89.6,26.3,287,36,266,,,,MW,,,
Iowa,2009,92.0,30.7,284,34,265,,,,MW,,,
Kansas,2009,90.1,32.6,289,39,267,,,,MW,,,
Kentucky,2009,88.4,25.1,279,27,267,,,,SE,,,
