State,Year,HS_or_higher_25-44,Bach_or_higher_25-44,MathG8Performance,MG8_at_or_above_prof,ReadingG80500,EGOV,LGOV,TGOV,REGION,,,
North Carolina,2012,86.7,30.5,NA,NA,NA,,,,SE,,,
North Dakota,2012,95.8,35.7,NA,NA,NA,,,,MW,,,
Ohio,2012,91.3,30.1,NA,NA,NA,,,,MW,,,
Oklahoma,2012,87.6,25.3,NA,NA,NA,,,,SW,,,
Oregon,2012,89.1,32.7,NA,NA,NA,,,,W,,,
Pennsylvania,2012,91.7,34.6,NA,NA,NA,,,,NE,,,
Rhode Island,2012,88.8,35.6,NA,NA,NA,,,,NE,,,
South Carolina,2012,88.1,27.4,NA,NA,NA,,,,SE,,,
South Dakota,2012,92.7,30.0,NA,NA,NA,,,,MW,,,
Tennessee,2012,89.3,28.2,NA,NA,NA,,,,SE,,,
Texas,2012,83.0,27.6,NA,NA,NA,,,,SW,,,
Utah,2012,91.0,31.4,NA,NA,NA,,,,W,,,
Vermont,2012,92.8,38.2,NA,NA,NA,,,,NE,,,
Virginia,2012,91.7,39.7,NA,NA,NA,,,,SE,,,
Washington,2012,90.0,32.8,NA,NA,NA,,,,W,,,
West Virginia,2012,88.8,22.5,NA,NA,NA,,,,SE,,,
Wisconsin,2012,92.6,32.1,NA,NA,NA,,,,MW,,,
Wyoming,2012,92.5,24.8,NA,NA,NA,,,,W,,,
Puerto Rico,2012,85.7,30.8,NA,NA,NA,,,,T,,,
United States,2013,88.0,32.9,284,NA,266,D,,,N,,,
Alabama,2013,86.1,25.0,269,NA,257,,,,SE,,,
Alaska,2013,92.6,28.0,282,NA,261,,,,W,,,
Arizona,2013,84.7,27.3,280,NA,260,,,,SW,,,
Arkansas,2013,87.8,23.5,278,NA,262,,,,SE,,,
California,2013,83.1,32.4,276,NA,262,,,,W,,,
Colorado,2013,89.8,39.1,290,NA,271,,,,W,,,
Connecticut,2013,92.1,41.8,285,NA,274,,,,NE,,,
Delaware,2013,88.5,34.6,282,NA,266,,,,SE,,,
District of Columbia,2013,93.3,65.4,265,NA,,,,,SE,,,
Florida,2013,87.5,28.3,281,NA,,,,,SE,,,
Georgia,2013,86.8,30.8,279,NA,,,,,SE,,,
Hawaii,2013,96.3,33.6,281,NA,,,,,W,,,
Idaho,2013,89.0,27.4,286,NA,,,,,W,,,
Illinois,2013,89.2,37.6,285,NA,,,,,MW,,,
Indiana,2013,88.8,27.4,288,NA,,,,,MW,,,
Iowa,2013,93.1,32.3,285,NA,,,,,MW,,,
Kansas,2013,90.7,34.2,290,NA,,,,,MW,,,
Kentucky,2013,88.7,26.5,281,NA,,,,,SE,,,
Louisiana,2013,85.7,25.4,273,NA,,,,,SE,,,
Maine,2013,94.4,30.5,289,NA,,,,,NE,,,
Maryland,2013,90.5,40.7,287,NA,,,,,SE,,,
Massachusetts,2013,92.4,47.6,301,NA,,,,,NE,,,
Michigan,2013,90.8,31.0,280,NA,,,,,MW,,,
Minnesota,2013,93.0,38.8,295,NA,,,,,MW,,,
Mississippi,2013,85.9,21.9,271,NA,,,,,SE,,,
Missouri,2013,90.5,31.8,283,NA,,,,,MW,,,
Montana,2013,93.4,31.7,289,NA,,,,,W,,,
Nebraska,2013,89.1,34.7,285,NA,,,,,MW,,,
Nevada,2013,84.6,21.8,278,NA,,,,,W,,,
New Hampshire,2013,94.1,37.5,296,NA,,,,,NE,,,
New Jersey,2013,91.7,42.8,296,NA,,,,,NE,,,
New Mexico,2013,84.7,24.7,273,NA,,,,,SW,,,
New York,2013,88.5,41.0,282,NA,,,,,NE,,,
North Carolina,2013,87.1,31.9,286,NA,,,,,SE,,,
North Dakota,2013,94.1,32.9,291,NA,,,,,MW,,,
Ohio,2013,90.9,31.1,290,NA,,,,,MW,,,
Oklahoma,2013,87.4,25.6,276,NA,,,,,SW,,,
Oregon,2013,89.4,33.2,284,NA,,,,,W,,,
Pennsylvania,2013,91.5,35.7,290,NA,,,,,NE,,,
Rhode Island,2013,88.7,35.7,284,NA,,,,,NE,,,
South Carolina,2013,87.6,28.6,280,NA,,,,,SE,,,
South Dakota,2013,93.8,31.2,287,NA,,,,,MW,,,
Tennessee,2013,88.8,29.1,278,NA,,,,,SE,,,
Texas,2013,83.4,28.8,288,NA,,,,,SW,,,
Utah,2013,91.8,32.1,284,NA,,,,,W,,,
Vermont,2013,92.5,39.0,295,NA,,,,,NE,,,
Virginia,2013,91.6,40.0,288,NA,,,,,SE,,,
Washington,2013,90.0,34.1,290,NA,,,,,W,,,
West Virginia,2013,89.3,22.7,274,NA,,,,,SE,,,
Wisconsin,2013,92.6,32.8,289,NA,,,,,MW,,,
Wyoming,2013,95.2,29.1,288,NA,,,,,W,,,
Puerto Rico,2013,85.3,30.2,218,NA,,,,,T,,,
United States,2014,88.7,33.6,NA,NA,,D,,,N,,,
Alabama,2014,86.9,25.7,NA,NA,,,,,SE,,,
Alaska,2014,93.7,26.9,NA,NA,,,,,W,,,
Arizona,2014,85.3,27.6,NA,NA,,,,,SW,,,
Arkansas,2014,88.3,24.0,NA,NA,,,,,SE,,,
California,2014,84.5,33.6,NA,NA,,,,,W,,,
Colorado,2014,90.1,40.1,NA,NA,,,,,W,,,
Connecticut,2014,91.8,42.4,NA,NA,,,,,NE,,,
Delaware,2014,89.6,34.6,NA,NA,,,,,SE,,,
District of Columbia,2014,92.1,65.9,NA,NA,,,,,SE,,,
Florida,2014,88.7,28.5,NA,NA,,,,,SE,,,
Georgia,2014,87.2,31.3,NA,NA,,,,,SE,,,
Hawaii,2014,96.9,32.7,NA,NA,,,,,W,,,
Idaho,2014,90.1,26.2,NA,NA,,,,,W,,,
Illinois,2014,90.0,38.7,NA,NA,,,,,MW,,,
Indiana,2014,89.8,28.8,NA,NA,,,,,MW,,,
Iowa,2014,93.4,34.7,NA,NA,,,,,MW,,,
Kansas,2014,91.0,35.3,NA,NA,,,,,MW,,,
Kentucky,2014,88.6,26.4,NA,NA,,,,,SE,,,
Louisiana,2014,86.5,26.2,NA,NA,,,,,SE,,,
Maine,2014,94.7,32.0,NA,NA,,,,,NE,,,
Maryland,2014,90.7,42.4,NA,NA,,,,,SE,,,
Massachusetts,2014,91.8,48.4,NA,NA,,,,,NE,,,
Michigan,2014,91.1,31.8,NA,NA,,,,,MW,,,
Minnesota,2014,94.1,39.9,NA,NA,,,,,MW,,,
Mississippi,2014,87.7,24.0,NA,NA,,,,,SE,,,
Missouri,2014,90.8,32.8,NA,NA,,,,,MW,,,
Montana,2014,92.5,31.5,NA,NA,,,,,W,,,
Nebraska,2014,90.4,35.6,NA,NA,,,,,MW,,,
Nevada,2014,85.3,22.9,NA,NA,,,,,W,,,
New Hampshire,2014,94.2,38.7,NA,NA,,,,,NE,,,
New Jersey,2014,92.7,43.5,NA,NA,,,,,NE,,,
New Mexico,2014,84.6,23.0,NA,NA,,,,,SW,,,
New York,2014,89.4,41.8,NA,NA,,,,,NE,,,
North Carolina,2014,87.7,32.3,NA,NA,,,,,SE,,,
North Dakota,2014,94.4,33.0,NA,NA,,,,,MW,,,
Ohio,2014,91.5,31.8,NA,NA,,,,,MW,,,
Oklahoma,2014,87.9,26.0,NA,NA,,,,,SW,,,
Oregon,2014,89.5,33.6,NA,NA,,,,,W,,,
Pennsylvania,2014,91.7,36.0,NA,NA,,,,,NE,,,
Rhode Island,2014,89.7,34.7,NA,NA,,,,,NE,,,
South Carolina,2014,87.9,28.3,NA,NA,,,,,SE,,,
South Dakota,2014,93.2,31.8,NA,NA,,,,,MW,,,
Tennessee,2014,89.6,28.9,NA,NA,,,,,SE,,,
Texas,2014,84.0,29.3,NA,NA,,,,,SW,,,
Utah,2014,91.4,31.4,NA,NA,,,,,W,,,
Vermont,2014,95.7,39.4,NA,NA,,,,,NE,,,
Virginia,2014,91.8,41.3,NA,NA,,,,,SE,,,
Washington,2014,90.5,35.2,NA,NA,,,,,W,,,
West Virginia,2014,90.7,23.2,NA,NA,,,,,SE,,,
Wisconsin,2014,93.1,33.5,NA,NA,,,,,MW,,,
Wyoming,2014,95.0,26.9,NA,NA,,,,,W,,,
Puerto Rico,2014,85.4,29.9,NA,NA,,,,,T,,,
United States,2015,89.0,34.2,281,NA,,D,,,N,,,
Alabama,2015,87.1,26.6,267,NA,,,,,SE,,,
Alaska,2015,93.9,28.9,280,NA,,,,,W,,,
Arizona,2015,85.2,27.4,283,NA,,,,,SW,,,
Arkansas,2015,88.2,24.6,275,NA,,,,,SE,,,
California,2015,84.8,34.5,275,NA,,,,,W,,,
Colorado,2015,91.2,41.2,286,NA,,,,,W,,,
Connecticut,2015,92.9,43.2,284,NA,,,,,NE,,,
Delaware,2015,88.5,34.0,280,NA,,,,,SE,,,
District of Columbia,2015,92.4,66.8,263,NA,,,,,SE,,,
Florida,2015,89.2,29.9,275,NA,,,,,SE,,,
Georgia,2015,87.5,32.2,279,NA,,,,,SE,,,
Hawaii,2015,97.0,33.9,279,NA,,,,,W,,,
Idaho,2015,90.6,27.5,284,NA,,,,,W,,,
Illinois,2015,90.3,38.7,282,NA,,,,,MW,,,
Indiana,2015,89.1,29.0,287,NA,,,,,MW,,,
Iowa,2015,93.2,33.7,286,NA,,,,,MW,,,
Kansas,2015,90.0,35.3,284,NA,,,,,MW,,,
Kentucky,2015,89.4,27.3,278,NA,,,,,SE,,,
Louisiana,2015,87.1,26.0,268,NA,,,,,SE,,,
Maine,2015,93.6,33.0,285,NA,,,,,NE,,,
Maryland,2015,91.4,42.5,283,NA,,,,,SE,,,
Massachusetts,2015,92.7,48.7,297,NA,,,,,NE,,,
Michigan,2015,91.3,31.9,278,NA,,,,,MW,,,
Minnesota,2015,93.4,40.4,294,NA,,,,,MW,,,
Mississippi,2015,87.0,22.7,271,NA,,,,,SE,,,
Missouri,2015,90.7,32.8,281,NA,,,,,MW,,,
Montana,2015,94.0,34.4,287,NA,,,,,W,,,
Nebraska,2015,91.9,35.8,286,NA,,,,,MW,,,
Nevada,2015,86.0,23.2,275,NA,,,,,W,,,
New Hampshire,2015,93.8,39.9,294,NA,,,,,NE,,,
New Jersey,2015,93.2,44.4,293,NA,,,,,NE,,,
New Mexico,2015,83.6,22.8,271,NA,,,,,SW,,,
New York,2015,89.9,42.6,280,NA,,,,,NE,,,
North Carolina,2015,87.9,32.6,281,NA,,,,,SE,,,
North Dakota,2015,96.3,34.4,288,NA,,,,,MW,,,
Ohio,2015,91.9,32.0,285,NA,,,,,MW,,,
Oklahoma,2015,88.1,25.9,275,NA,,,,,SW,,,
Oregon,2015,89.9,35.5,283,NA,,,,,W,,,
Pennsylvania,2015,91.9,36.8,284,NA,,,,,NE,,,
Rhode Island,2015,91.2,35.9,281,NA,,,,,NE,,,
South Carolina,2015,88.1,28.7,276,NA,,,,,SE,,,
South Dakota,2015,92.6,31.6,285,NA,,,,,MW,,,
Tennessee,2015,88.9,29.9,278,NA,,,,,SE,,,
Texas,2015,84.3,29.9,284,NA,,,,,SW,,,
Utah,2015,92.4,32.6,286,NA,,,,,W,,,
Vermont,2015,91.8,38.2,290,NA,,,,,NE,,,
Virginia,2015,92.2,41.1,288,NA,,,,,SE,,,
Washington,2015,90.6,36.3,287,NA,,,,,W,,,
West Virginia,2015,91.8,24.0,271,NA,,,,,SE,,,
Wisconsin,2015,93.0,33.7,289,NA,,,,,MW,,,
Wyoming,2015,94.1,27.7,287,NA,,,,,W,,,
Puerto Rico,2015,86.9,30.3,222,NA,,,,,T,,,
United States,2016,88.9,34.9,NA,NA,,D,,,N,,,
Alabama,2016,86.9,27.2,NA,NA,,,,,SE,,,
Alaska,2016,94.5,29.0,NA,NA,,,,,W,,,
Arizona,2016,85.3,28.3,NA,NA,,,,,SW,,,
Arkansas,2016,87.0,25.0,NA,NA,,,,,SE,,,
California,2016,85.0,35.4,NA,NA,,,,,W,,,
Colorado,2016,90.0,40.9,NA,NA,,,,,W,,,
Connecticut,2016,92.4,43.7,NA,NA,,,,,NE,,,
Delaware,2016,89.1,33.2,NA,NA,,,,,SE,,,
District of Columbia,2016,91.3,65.3,NA,NA,,,,,SE,,,
Florida,2016,88.2,29.9,NA,NA,,,,,SE,,,
Georgia,2016,87.5,32.8,NA,NA,,,,,SE,,,
Hawaii,2016,95.4,33.0,NA,NA,,,,,W,,,
Idaho,2016,90.1,29.3,NA,NA,,,,,W,,,
Illinois,2016,90.9,40.1,NA,NA,,,,,MW,,,
Indiana,2016,89.0,30.1,NA,NA,,,,,MW,,,
Iowa,2016,92.9,35.1,NA,NA,,,,,MW,,,
Kansas,2016,90.1,35.7,NA,NA,,,,,MW,,,
Kentucky,2016,89.4,27.5,NA,NA,,,,,SE,,,
Louisiana,2016,86.4,25.9,NA,NA,,,,,SE,,,
Maine,2016,95.5,34.2,NA,NA,,,,,NE,,,
Maryland,2016,91.6,43.3,NA,NA,,,,,SE,,,
Massachusetts,2016,92.1,50.0,NA,NA,,,,,NE,,,
Michigan,2016,91.4,32.4,NA,NA,,,,,MW,,,
Minnesota,2016,93.2,40.4,NA,NA,,,,,MW,,,
Mississippi,2016,87.2,23.4,NA,NA,,,,,SE,,,
Missouri,2016,91.3,33.5,NA,NA,,,,,MW,,,
Montana,2016,91.3,32.8,NA,NA,,,,,W,,,
Nebraska,2016,91.3,37.7,NA,NA,,,,,MW,,,
Nevada,2016,86.2,23.1,NA,NA,,,,,W,,,
New Hampshire,2016,93.4,40.7,NA,NA,,,,,NE,,,
New Jersey,2016,93.6,45.2,NA,NA,,,,,NE,,,
New Mexico,2016,86.2,24.7,NA,NA,,,,,SW,,,
New York,2016,89.8,43.1,NA,NA,,,,,NE,,,
North Carolina,2016,88.6,34.0,NA,NA,,,,,SE,,,
North Dakota,2016,95.3,36.5,NA,NA,,,,,MW,,,
Ohio,2016,91.4,32.6,NA,NA,,,,,MW,,,
Oklahoma,2016,87.4,26.7,NA,NA,,,,,SW,,,
Oregon,2016,90.0,35.3,NA,NA,,,,,W,,,
Pennsylvania,2016,92.4,38.4,NA,NA,,,,,NE,,,
Rhode Island,2016,92.4,39.3,NA,NA,,,,,NE,,,
South Carolina,2016,88.0,29.5,NA,NA,,,,,SE,,,
South Dakota,2016,91.0,32.6,NA,NA,,,,,MW,,,
Tennessee,2016,90.4,29.9,NA,NA,,,,,SE,,,
Texas,2016,84.5,30.4,NA,NA,,,,,SW,,,
Utah,2016,91.8,34.6,NA,NA,,,,,W,,,
Vermont,2016,93.2,40.5,NA,NA,,,,,NE,,,
Virginia,2016,91.3,41.7,NA,NA,,,,,SE,,,
Washington,2016,90.0,37.5,NA,NA,,,,,W,,,
West Virginia,2016,89.6,25.2,NA,NA,,,,,SE,,,
Wisconsin,2016,93.0,35.2,NA,NA,,,,,MW,,,
Wyoming,2016,94.7,28.4,NA,NA,,,,,W,,,
Puerto Rico,2016,88.5,30.7,NA,NA,,,,,T,,,
United States,2017,89.8,35.7,282,NA,,R,,,N,,,
Alabama,2017,87.8,27.1,268,NA,,,,,SE,,,
Alaska,2017,93.0,27.7,277,NA,,,,,W,,,
Arizona,2017,86.7,29.8,282,NA,,,,,SW,,,
Arkansas,2017,88.4,26.6,274,NA,,,,,SE,,,
California,2017,87.0,36.5,277,NA,,,,,W,,,
Colorado,2017,91.2,43.1,286,NA,,,,,W,,,
Connecticut,2017,92.4,43.4,284,NA,,,,,NE,,,
Delaware,2017,91.9,32.4,278,NA,,,,,SE,,,
District of Columbia,2017,93.2,68.2,266,NA,,,,,SE,,,
Florida,2017,89.4,31.1,279,NA,,,,,SE,,,
Georgia,2017,88.0,33.3,281,NA,,,,,SE,,,
Hawaii,2017,96.5,34.1,277,NA,,,,,W,,,
Idaho,2017,91.2,28.0,284,NA,,,,,W,,,
Illinois,2017,91.1,40.0,282,NA,,,,,MW,,,
Indiana,2017,89.4,31.3,288,NA,,,,,MW,,,
Iowa,2017,92.4,35.2,286,NA,,,,,MW,,,
Kansas,2017,91.3,37.1,285,NA,,,,,MW,,,
Kentucky,2017,90.4,28.1,278,NA,,,,,SE,,,
Louisiana,2017,86.6,26.8,267,NA,,,,,SE,,,
Maine,2017,94.9,35.1,284,NA,,,,,NE,,,
Maryland,2017,91.5,43.7,281,NA,,,,,SE,,,
Massachusetts,2017,92.9,50.3,297,NA,,,,,NE,,,
Michigan,2017,91.6,33.4,280,NA,,,,,MW,,,
Minnesota,2017,94.3,42.0,294,NA,,,,,MW,,,
Mississippi,2017,84.6,22.7,271,NA,,,,,SE,,,
Missouri,2017,90.8,33.6,281,NA,,,,,MW,,,
Montana,2017,92.4,33.7,286,NA,,,,,W,,,
Nebraska,2017,92.2,37.7,288,NA,,,,,MW,,,
Nevada,2017,88.3,24.9,275,NA,,,,,W,,,
New Hampshire,2017,93.3,40.5,293,NA,,,,,NE,,,
New Jersey,2017,94.3,47.3,292,NA,,,,,NE,,,
New Mexico,2017,86.5,24.3,269,NA,,,,,SW,,,
New York,2017,91.1,44.0,282,NA,,,,,NE,,,
North Carolina,2017,89.1,35.2,282,NA,,,,,SE,,,
North Dakota,2017,96.4,39.1,288,NA,,,,,MW,,,
Ohio,2017,92.0,33.2,288,NA,,,,,MW,,,
Oklahoma,2017,88.7,26.7,275,NA,,,,,SW,,,
Oregon,2017,89.8,37.2,282,NA,,,,,W,,,
Pennsylvania,2017,92.7,38.7,286,NA,,,,,NE,,,
Rhode Island,2017,93.1,38.3,277,NA,,,,,NE,,,
South Carolina,2017,88.8,29.8,275,NA,,,,,SE,,,
South Dakota,2017,91.9,30.7,286,NA,,,,,MW,,,
Tennessee,2017,90.9,31.8,279,NA,,,,,SE,,,
Texas,2017,85.5,31.1,282,NA,,,,,SW,,,
Utah,2017,92.4,36.2,287,NA,,,,,W,,,
Vermont,2017,93.4,41.2,288,NA,,,,,NE,,,
Virginia,2017,92.0,42.6,290,NA,,,,,SE,,,
Washington,2017,90.7,38.1,289,NA,,,,,W,,,
West Virginia,2017,90.0,23.5,273,NA,,,,,SE,,,
Wisconsin,2017,93.6,36.0,288,NA,,,,,MW,,,
Wyoming,2017,92.5,28.6,289,NA,,,,,W,,,
Puerto Rico,2017,88.5,31.2,225,NA,,,,,T,,,
United States,2018,90.2,36.5,NA,NA,,R,,,N,,,
Alabama,2018,88.0,27.9,NA,NA,,,,,SE,,,
Alaska,2018,95.2,29.4,NA,NA,,,,,W,,,
Arizona,2018,88.0,29.9,NA,NA,,,,,SW,,,
Arkansas,2018,90.1,25.8,NA,NA,,,,,SE,,,
California,2018,87.3,36.9,NA,NA,,,,,W,,,
Colorado,2018,91.7,43.5,NA,NA,,,,,W,,,
Connecticut,2018,93.0,44.6,NA,NA,,,,,NE,,,
Delaware,2018,88.7,31.8,NA,NA,,,,,SE,,,
District of Columbia,2018,95.4,70.6,NA,NA,,,,,SE,,,
Florida,2018,90.0,32.3,NA,NA,,,,,SE,,,
Georgia,2018,88.8,34.1,NA,NA,,,,,SE,,,
Hawaii,2018,94.5,35.3,NA,NA,,,,,W,,,
Idaho,2018,90.8,29.2,NA,NA,,,,,W,,,
Illinois,2018,91.8,41.5,NA,NA,,,,,MW,,,
Indiana,2018,89.6,31.5,NA,NA,,,,,MW,,,
Iowa,2018,93.2,35.4,NA,NA,,,,,MW,,,
Kansas,2018,90.4,37.3,NA,NA,,,,,MW,,,
Kentucky,2018,90.1,29.1,NA,NA,,,,,SE,,,
Louisiana,2018,87.3,26.9,NA,NA,,,,,SE,,,
Maine,2018,95.0,36.1,NA,NA,,,,,NE,,,
Maryland,2018,91.5,44.0,NA,NA,,,,,SE,,,
Massachusetts,2018,93.5,52.6,NA,NA,,,,,NE,,,
Michigan,2018,92.0,34.3,NA,NA,,,,,MW,,,
Minnesota,2018,93.8,42.7,NA,NA,,,,,MW,,,
Mississippi,2018,88.3,25.3,NA,NA,,,,,SE,,,
Missouri,2018,92.1,34.7,NA,NA,,,,,MW,,,
Montana,2018,94.9,34.2,NA,NA,,,,,W,,,
Nebraska,2018,93.1,39.3,NA,NA,,,,,MW,,,
Nevada,2018,87.5,24.8,NA,NA,,,,,W,,,
New Hampshire,2018,94.2,40.0,NA,NA,,,,,NE,,,
New Jersey,2018,92.9,47.8,NA,NA,,,,,NE,,,
New Mexico,2018,87.1,25.3,NA,NA,,,,,SW,,,
New York,2018,90.5,45.0,NA,NA,,,,,NE,,,
North Carolina,2018,89.9,35.8,NA,NA,,,,,SE,,,
North Dakota,2018,95.5,38.0,NA,NA,,,,,MW,,,
Ohio,2018,92.2,34.0,NA,NA,,,,,MW,,,
Oklahoma,2018,89.9,27.2,NA,NA,,,,,SW,,,
Oregon,2018,89.9,36.7,NA,NA,,,,,W,,,
Pennsylvania,2018,92.5,39.4,NA,NA,,,,,NE,,,
Rhode Island,2018,93.1,37.3,NA,NA,,,,,NE,,,
South Carolina,2018,89.6,30.7,NA,NA,,,,,SE,,,
South Dakota,2018,94.3,34.9,NA,NA,,,,,MW,,,
Tennessee,2018,90.3,31.2,NA,NA,,,,,SE,,,
Texas,2018,86.7,32.2,NA,NA,,,,,SW,,,
Utah,2018,92.7,36.3,NA,NA,,,,,W,,,
Vermont,2018,96.0,44.7,NA,NA,,,,,NE,,,
Virginia,2018,92.3,43.4,NA,NA,,,,,SE,,,
Washington,2018,91.8,40.2,NA,NA,,,,,W,,,
West Virginia,2018,91.0,24.7,NA,NA,,,,,SE,,,
Wisconsin,2018,93.3,35.5,NA,NA,,,,,MW,,,
Wyoming,2018,92.9,29.3,NA,NA,,,,,W,,,
Puerto Rico,2018,88.6,32.6,NA,NA,,,,,T,,,
United States,2019,90.3,37.1,281,NA,,R,,,N,,,
Alabama,2019,88.8,28.6,269,NA,,,,,SE,,,
Alaska,2019,92.6,29.6,274,NA,,,,,W,,,
Arizona,2019,87.6,30.0,280,NA,,,,,SW,,,
Arkansas,2019,89.8,26.4,274,NA,,,,,SE,,,
California,2019,87.6,38.2,276,NA,,,,,W,,,
Colorado,2019,92.7,45.1,285,NA,,,,,W,,,
Connecticut,2019,92.1,44.6,286,NA,,,,,NE,,,
Delaware,2019,89.5,35.1,277,NA,,,,,SE,,,
District of Columbia,2019,94.2,70.4,269,NA,,,,,SE,,,
Florida,2019,89.5,32.3,279,NA,,,,,SE,,,
Georgia,2019,88.6,35.0,279,NA,,,,,SE,,,
Hawaii,2019,95.3,35.6,275,NA,,,,,W,,,
Idaho,2019,91.6,30.1,286,NA,,,,,W,,,
Illinois,2019,91.7,42.4,283,NA,,,,,MW,,,
Indiana,2019,89.7,31.2,286,NA,,,,,MW,,,
Iowa,2019,94.4,36.0,282,NA,,,,,MW,,,
Kansas,2019,91.2,37.3,282,NA,,,,,MW,,,
Kentucky,2019,90.4,29.5,278,NA,,,,,SE,,,
Louisiana,2019,87.7,28.1,272,NA,,,,,SE,,,
Maine,2019,95.8,36.6,282,NA,,,,,NE,,,
Maryland,2019,91.3,44.2,280,NA,,,,,SE,,,
Massachusetts,2019,93.7,52.9,294,NA,,,,,NE,,,
Michigan,2019,92.1,34.4,280,NA,,,,,MW,,,
Minnesota,2019,94.9,43.5,291,NA,,,,,MW,,,
Mississippi,2019,86.7,22.7,274,NA,,,,,SE,,,
Missouri,2019,92.6,35.5,281,NA,,,,,MW,,,
Montana,2019,93.7,38.1,284,NA,,,,,W,,,
Nebraska,2019,93.4,40.6,285,NA,,,,,MW,,,
Nevada,2019,86.2,25.4,274,NA,,,,,W,,,
New Hampshire,2019,94.8,42.4,287,NA,,,,,NE,,,
New Jersey,2019,92.5,48.1,292,NA,,,,,NE,,,
New Mexico,2019,87.4,25.5,269,NA,,,,,SW,,,
New York,2019,90.9,45.6,280,NA,,,,,NE,,,
North Carolina,2019,89.2,36.0,284,NA,,,,,SE,,,
North Dakota,2019,97.9,36.6,286,NA,,,,,MW,,,
Ohio,2019,92.1,34.4,286,NA,,,,,MW,,,
Oklahoma,2019,88.7,27.3,276,NA,,,,,SW,,,
Oregon,2019,91.5,37.5,280,NA,,,,,W,,,
Pennsylvania,2019,92.7,39.5,285,NA,,,,,NE,,,
Rhode Island,2019,92.1,40.5,276,NA,,,,,NE,,,
South Carolina,2019,89.5,32.0,276,NA,,,,,SE,,,
South Dakota,2019,92.6,33.8,287,NA,,,,,MW,,,
Tennessee,2019,90.3,33.0,280,NA,,,,,SE,,,
Texas,2019,87.2,33.1,280,NA,,,,,SW,,,
Utah,2019,94.1,36.5,285,NA,,,,,W,,,
Vermont,2019,95.0,43.8,287,NA,,,,,NE,,,
Virginia,2019,92.4,43.5,287,NA,,,,,SE,,,
Washington,2019,91.7,39.9,286,NA,,,,,W,,,
West Virginia,2019,92.3,26.0,272,NA,,,,,SE,,,
Wisconsin,2019,93.6,37.3,289,NA,,,,,MW,,,
Wyoming,2019,94.1,29.8,286,NA,,,,,W,,,
Puerto Rico,2019,88.8,32.7,222,NA,,,,,T,,,
